date,wanke_close,baoli_close
2018-01-02,32.56,14.61
2018-01-03,32.33,14.5
2018-01-04,33.12,14.5
2018-01-05,34.76,15.29
2018-01-08,35.99,15.6
2018-01-09,35.84,15.7
2018-01-10,35.67,15.88
2018-01-11,35.15,15.79
2018-01-12,35.55,15.72
2018-01-15,37.09,16.59
2018-01-16,40.2,17.68
2018-01-17,39.77,17.98
2018-01-18,39.76,17.58
2018-01-19,39.42,17.31
2018-01-22,39.53,17.54
2018-01-23,40.98,17.73
2018-01-24,41.13,17.83
2018-01-25,40.2,17.1
2018-01-26,40.04,17.19
2018-01-29,38.57,16.97
2018-01-30,36.36,16.52
2018-01-31,37.56,17.25
2018-02-01,37.5,17.59
2018-02-02,37.38,18.46
2018-02-05,36.99,18.67
2018-02-06,35.82,18.04
2018-02-07,32.98,16.33
2018-02-08,32.75,15.61
2018-02-09,31.27,14.21
2018-02-12,31.9,14.51
2018-02-13,32.73,15.12
2018-02-14,33.17,15.19
2018-02-22,33.7,15.46
2018-02-23,34.72,15.64
2018-02-26,34.18,15.09
2018-02-27,32.9,14.49
2018-02-28,32.7,14.6
2018-03-01,32.41,14.7
2018-03-02,32.28,14.8
2018-03-05,32.18,14.86
2018-03-06,33.67,15.57
2018-03-07,32.9,15.41
2018-03-08,33.64,15.54
2018-03-09,33.46,15.24
2018-03-12,32.62,14.56
2018-03-13,32.48,14.55
2018-03-14,32.7,14.57
2018-03-15,32.66,14.58
2018-03-16,32.63,14.61
2018-03-19,31.58,14.05
2018-03-20,31.34,13.93
2018-03-21,31.66,14.01
2018-03-22,31.18,13.6
2018-03-23,31.07,13.31
2018-03-26,30.33,13.05
2018-03-27,31.02,13.1
2018-03-28,31.33,13.08
2018-03-29,34.16,13.76
2018-03-30,33.29,13.47
2018-04-02,33.49,13.64
2018-04-03,33.64,13.53
2018-04-04,32.8,13.69
2018-04-09,31.62,13.48
2018-04-10,32.18,14.29
2018-04-11,32.61,14.54
2018-04-12,31.85,14.39
2018-04-13,31.25,14.03
2018-04-16,30.03,13.24
2018-04-17,29.92,13.14
2018-04-18,30.04,13.47
2018-04-19,30.23,13.44
2018-04-20,30.15,13.4
2018-04-23,29.91,13.55
2018-04-24,30.93,14.09
2018-04-25,30.12,13.86
2018-04-26,28.5,13.66
2018-04-27,28.4,13.12
2018-05-02,27.68,13.17
2018-05-03,27.33,13.04
2018-05-04,26.91,13.04
2018-05-07,27.38,13.51
2018-05-08,28.69,13.81
2018-05-09,28.2,13.89
2018-05-10,28.07,13.92
2018-05-11,27.94,13.7
2018-05-14,27.94,13.73
2018-05-15,27.75,13.96
2018-05-16,27.23,13.64
2018-05-17,26.79,13.62
2018-05-18,27.15,13.89
2018-05-21,27.07,13.76
2018-05-22,26.72,13.21
2018-05-23,26.8,12.86
2018-05-24,26.65,12.71
2018-05-25,26.39,12.75
2018-05-28,26.5,12.6
2018-05-29,25.6,12.43
2018-05-30,24.64,12.02
2018-05-31,25.59,12.37
2018-06-01,26.0,12.6
2018-06-04,27.3,13.28
2018-06-05,27.49,13.4
2018-06-06,26.99,13.28
2018-06-07,27.39,13.8
2018-06-08,26.71,13.07
2018-06-11,27.31,13.6
2018-06-12,27.71,13.64
2018-06-13,27.64,13.68
2018-06-14,27.37,13.65
2018-06-15,27.99,13.98
2018-06-19,27.1,13.49
2018-06-20,26.96,14.16
